"('ประเภทโลหะที่มีค่าสูง / Nonferrous metals', 'ชนิดสินค้า')",price of aluminum extrusion,Date,Set_Price,USD_Price,import,export,gdp,cpi,price of aluminum extrusion_normalized,Set_Price_normalized,USD_Price_normalized,import_normalized,export_normalized,gdp_normalized,cpi_normalized,price of aluminum extrusion_standardized,Set_Price_standardized,USD_Price_standardized,import_standardized,export_standardized,gdp_standardized,cpi_standardized
อลูมิเนียมฉากขอบใหม่,74.0,2023-02-27,1627.35,35.0,260.98,282.54,512.19,106.96,0.9607843137254901,0.8414962663130712,0.6150234741784035,0.04798267689236013,0.4805008998323448,0.3453459637561789,0.0,1.8796557017987587,0.6948587993362682,0.99405508095634,-1.0737993356238347,-0.05022384816807425,0.0726033671233087,-1.4668685445354366
อลูมิเนียมฉากขอบใหม่,74.0,2023-02-28,1622.35,35.22,260.98,282.54,512.19,106.96,0.9607843137254901,0.83451741224091,0.6408450704225346,0.04798267689236013,0.4805008998323448,0.3453459637561789,0.0,1.8796557017987587,0.6580768689821911,1.0985879708203998,-1.0737993356238347,-0.05022384816807425,0.0726033671233087,-1.4668685445354366
อลูมิเนียมฉากขอบใหม่,57.0,2023-03-01,1619.98,34.7,260.98,282.54,512.19,106.96,0.6274509803921569,0.8312094354107054,0.5798122065727704,0.04798267689236013,0.4805008998323448,0.3453459637561789,0.0,0.7342015401205982,0.6406422339943594,0.8515102311417138,-1.0737993356238347,-0.05022384816807425,0.0726033671233087,-1.4668685445354366
อลูมิเนียมฉากขอบใหม่,57.0,2023-03-02,1612.64,34.82,260.98,282.54,512.19,106.96,0.6274509803921569,0.8209644776327727,0.5938967136150235,0.04798267689236013,0.4805008998323448,0.3453459637561789,0.0,0.7342015401205982,0.5866463602345748,0.9085281710675636,-1.0737993356238347,-0.05022384816807425,0.0726033671233087,-1.4668685445354366
อลูมิเนียมฉากขอบใหม่,57.0,2023-03-03,1606.88,34.47,260.98,282.54,512.19,106.96,0.6274509803921569,0.8129248377416427,0.5528169014084505,0.04798267689236013,0.4805008998323448,0.3453459637561789,0.0,0.7342015401205982,0.5442735764666782,0.7422258462838306,-1.0737993356238347,-0.05022384816807425,0.0726033671233087,-1.4668685445354366
อลูมิเนียมฉากขอบใหม่,57.0,2023-03-04,1671.72,32.69,260.98,282.54,512.19,106.96,0.6274509803921569,0.903426617349431,0.34389671361502305,0.04798267689236013,0.4805008998323448,0.3453459637561789,0.0,0.7342015401205982,1.021261649298349,-0.10354026261629388,-1.0737993356238347,-0.05022384816807425,0.0726033671233087,-1.4668685445354366
อลูมิเนียมฉากขอบใหม่,57.0,2023-03-05,1544.11,30.53,260.98,282.54,512.19,106.96,0.6274509803921569,0.7253123037197289,0.09037558685446001,0.04798267689236013,0.4805008998323448,0.3453459637561789,0.0,0.7342015401205982,0.08251322280159298,-1.1298631812816113,-1.0737993356238347,-0.05022384816807425,0.0726033671233087,-1.4668685445354366
อลูมิเนียมฉากขอบใหม่,75.0,2023-03-06,1364.57,34.48,260.98,282.54,512.19,106.96,0.980392156862745,0.4747156116965592,0.5539906103286376,0.04798267689236013,0.4805008998323448,0.3453459637561789,0.0,1.9470353583680624,-1.2382523323526062,0.7469773412776506,-1.0737993356238347,-0.05022384816807425,0.0726033671233087,-1.4668685445354366
อลูมิเนียมฉากขอบใหม่,57.0,2023-03-07,1618.51,35.07,260.98,282.54,512.19,106.96,0.6274509803921569,0.82915765231349,0.6232394366197185,0.04798267689236013,0.4805008998323448,0.3453459637561789,0.0,0.7342015401205982,0.6298283464702605,1.0273155459130865,-1.0737993356238347,-0.05022384816807425,0.0726033671233087,-1.4668685445354366
อลูมิเนียมฉากขอบใหม่,57.0,2023-03-08,1612.6,35.06,260.98,282.54,512.19,106.96,0.6274509803921569,0.8209086468001952,0.6220657276995305,0.04798267689236013,0.4805008998323448,0.3453459637561789,0.0,0.7342015401205982,0.5863521047917408,1.0225640509192666,-1.0737993356238347,-0.05022384816807425,0.0726033671233087,-1.4668685445354366
อลูมิเนียมฉากขอบใหม่,57.0,2023-03-09,1614.22,35.0,260.98,282.54,512.19,106.96,0.6274509803921569,0.8231697955195758,0.6150234741784035,0.04798267689236013,0.4805008998323448,0.3453459637561789,0.0,0.7342015401205982,0.5982694502264627,0.99405508095634,-1.0737993356238347,-0.05022384816807425,0.0726033671233087,-1.4668685445354366
อลูมิเนียมฉากขอบใหม่,57.0,2023-03-10,1599.65,34.81,260.98,282.54,512.19,106.96,0.6274509803921569,0.8028334147532974,0.5927230046948355,0.04798267689236013,0.4805008998323448,0.3453459637561789,0.0,0.7342015401205982,0.49108690517468256,0.9037766760737436,-1.0737993356238347,-0.05022384816807425,0.0726033671233087,-1.4668685445354366
อลูมิเนียมฉากขอบใหม่,57.0,2023-03-11,1658.01,33.3,260.98,282.54,512.19,106.96,0.6274509803921569,0.8842905994835648,0.41549295774647854,0.04798267689236013,0.4805008998323448,0.3453459637561789,0.0,0.7342015401205982,0.9204055962674694,0.18630093200678205,-1.0737993356238347,-0.05022384816807425,0.0726033671233087,-1.4668685445354366
อลูมิเนียมฉากขอบใหม่,56.0,2023-03-13,1573.07,34.5,260.98,282.54,512.19,106.96,0.607843137254902,0.7657338265056877,0.5563380281690136,0.04798267689236013,0.4805008998323448,0.3453459637561789,0.0,0.6668218835512947,0.2955541634124077,0.7564803312652939,-1.0737993356238347,-0.05022384816807425,0.0726033671233087,-1.4668685445354366
อลูมิเนียมฉากขอบใหม่,56.0,2023-03-14,1523.89,34.57,260.98,282.54,512.19,106.96,0.607843137254902,0.6970898178519087,0.5645539906103285,0.04798267689236013,0.4805008998323448,0.3453459637561789,0.0,0.6668218835512947,-0.06623290355029322,0.7897407962220405,-1.0737993356238347,-0.05022384816807425,0.0726033671233087,-1.4668685445354366
อลูมิเนียมฉากขอบใหม่,56.0,2023-03-15,1565.0,34.62,260.98,282.54,512.19,106.96,0.607843137254902,0.7544699560332193,0.5704225352112675,0.04798267689236013,0.4805008998323448,0.3453459637561789,0.0,0.6668218835512947,0.23618812782092774,0.8134982711911438,-1.0737993356238347,-0.05022384816807425,0.0726033671233087,-1.4668685445354366
