price,export,update_date
26.0,231.7356914,2020-02-01
26.0,231.7356914,2020-02-02
26.0,231.7356914,2020-02-03
26.0,231.7356914,2020-02-04
26.0,231.7356914,2020-02-05
26.0,231.7356914,2020-02-06
25.0,231.7356914,2020-02-10
25.0,231.7356914,2020-02-11
25.0,231.7356914,2020-02-12
25.0,231.7356914,2020-02-13
26.0,231.7356914,2020-02-14
26.0,231.7356914,2020-02-15
26.0,231.7356914,2020-02-16
26.0,231.7356914,2020-02-17
26.0,231.7356914,2020-02-18
26.0,231.7356914,2020-02-19
26.0,231.7356914,2020-02-20
26.0,231.7356914,2020-02-21
26.0,231.7356914,2020-02-22
26.0,231.7356914,2020-02-25
26.0,231.7356914,2020-02-26
26.0,231.7356914,2020-02-27
26.0,231.7356914,2020-02-28
26.0,231.7356914,2020-02-29
26.0,231.7356914,2020-03-02
26.0,231.7356914,2020-03-03
26.0,231.7356914,2020-03-05
26.0,231.7356914,2020-03-06
26.0,231.7356914,2020-03-07
25.0,231.7356914,2020-03-09
25.0,231.7356914,2020-03-10
25.0,231.7356914,2020-03-11
25.0,231.7356914,2020-03-12
25.0,231.7356914,2020-03-13
25.0,231.7356914,2020-03-14
25.0,231.7356914,2020-03-16
25.0,231.7356914,2020-03-17
25.0,231.7356914,2020-03-18
25.0,231.7356914,2020-03-19
25.0,231.7356914,2020-03-20
24.0,231.7356914,2020-03-21
24.0,231.7356914,2020-03-23
24.0,231.7356914,2020-03-24
24.0,231.7356914,2020-03-25
24.0,231.7356914,2020-03-26
24.0,231.7356914,2020-03-28
23.0,231.7356914,2020-03-30
23.0,231.7356914,2020-03-31
23.0,231.7356914,2020-04-01
23.5,231.7356914,2020-04-03
23.5,231.7356914,2020-04-07
23.5,231.7356914,2020-04-08
23.5,231.7356914,2020-04-09
23.5,231.7356914,2020-04-12
23.5,231.7356914,2020-04-13
23.5,231.7356914,2020-04-14
23.5,231.7356914,2020-04-16
23.5,231.7356914,2020-04-17
24.0,231.7356914,2020-04-18
24.5,231.7356914,2020-04-20
24.5,231.7356914,2020-04-21
24.5,231.7356914,2020-04-22
24.5,231.7356914,2020-04-23
24.5,231.7356914,2020-04-24
24.5,231.7356914,2020-04-25
24.5,231.7356914,2020-04-27
24.5,231.7356914,2020-04-28
24.5,231.7356914,2020-04-29
23.0,231.7356914,2020-04-30
23.5,231.7356914,2020-05-02
23.5,231.7356914,2020-05-03
23.5,231.7356914,2020-05-04
23.5,231.7356914,2020-05-05
23.5,231.7356914,2020-05-06
23.5,231.7356914,2020-05-07
23.5,231.7356914,2020-05-08
23.5,231.7356914,2020-05-09
23.5,231.7356914,2020-05-11
23.5,231.7356914,2020-05-12
23.5,231.7356914,2020-05-13
23.5,231.7356914,2020-05-14
23.5,231.7356914,2020-05-15
23.5,231.7356914,2020-05-16
23.5,231.7356914,2020-05-18
23.5,231.7356914,2020-05-19
23.5,231.7356914,2020-05-21
23.5,231.7356914,2020-05-22
23.5,231.7356914,2020-05-23
23.5,231.7356914,2020-05-24
23.5,231.7356914,2020-05-26
23.5,231.7356914,2020-05-27
23.5,231.7356914,2020-05-28
23.5,231.7356914,2020-05-29
23.5,231.7356914,2020-05-30
23.5,231.7356914,2020-06-01
23.5,231.7356914,2020-06-02
23.5,231.7356914,2020-06-03
23.5,231.7356914,2020-06-05
23.5,231.7356914,2020-06-06
23.5,231.7356914,2020-06-07
24.0,231.7356914,2020-06-09
24.0,231.7356914,2020-06-11
24.0,231.7356914,2020-06-12
24.0,231.7356914,2020-06-15
24.0,231.7356914,2020-06-16
24.0,231.7356914,2020-06-17
24.0,231.7356914,2020-06-19
24.0,231.7356914,2020-06-23
24.0,231.7356914,2020-06-24
24.0,231.7356914,2020-06-25
24.0,231.7356914,2020-06-26
24.0,231.7356914,2020-06-28
24.0,231.7356914,2020-06-29
24.0,231.7356914,2020-06-30
24.0,231.7356914,2020-07-01
24.0,231.7356914,2020-07-02
24.0,231.7356914,2020-07-04
24.0,231.7356914,2020-07-07
24.0,231.7356914,2020-07-08
24.0,231.7356914,2020-07-09
24.0,231.7356914,2020-07-10
24.0,231.7356914,2020-07-11
24.0,231.7356914,2020-07-13
24.0,231.7356914,2020-07-14
24.0,231.7356914,2020-07-15
24.0,231.7356914,2020-07-16
24.0,231.7356914,2020-07-17
24.0,231.7356914,2020-07-18
24.0,231.7356914,2020-07-19
24.0,231.7356914,2020-07-21
24.0,231.7356914,2020-07-22
24.0,231.7356914,2020-07-23
24.0,231.7356914,2020-07-24
24.0,231.7356914,2020-07-25
24.0,231.7356914,2020-07-29
24.0,231.7356914,2020-07-31
24.0,231.7356914,2020-08-01
24.0,231.7356914,2020-08-03
24.0,231.7356914,2020-08-04
24.0,231.7356914,2020-08-05
24.0,231.7356914,2020-08-06
24.0,231.7356914,2020-08-07
24.0,231.7356914,2020-08-08
24.0,231.7356914,2020-08-09
24.0,231.7356914,2020-08-10
24.0,231.7356914,2020-08-11
24.0,231.7356914,2020-08-12
24.0,231.7356914,2020-08-13
24.0,231.7356914,2020-08-14
24.0,231.7356914,2020-08-15
24.0,231.7356914,2020-08-17
24.0,231.7356914,2020-08-18
24.0,231.7356914,2020-08-19
24.0,231.7356914,2020-08-20
24.0,231.7356914,2020-08-21
24.0,231.7356914,2020-08-22
24.0,231.7356914,2020-08-23
24.0,231.7356914,2020-08-24
25.0,231.7356914,2020-08-26
25.0,231.7356914,2020-08-28
25.0,231.7356914,2020-08-29
25.0,231.7356914,2020-08-30
25.0,231.7356914,2020-09-01
25.0,231.7356914,2020-09-04
25.0,231.7356914,2020-09-07
25.0,231.7356914,2020-09-08
25.0,231.7356914,2020-09-09
25.0,231.7356914,2020-09-10
25.0,231.7356914,2020-09-11
25.0,231.7356914,2020-09-12
25.0,231.7356914,2020-09-13
25.0,231.7356914,2020-09-14
25.0,231.7356914,2020-09-15
25.0,231.7356914,2020-09-16
25.0,231.7356914,2020-09-17
26.0,231.7356914,2020-09-18
26.0,231.7356914,2020-09-20
26.0,231.7356914,2020-09-23
26.0,231.7356914,2020-09-24
26.0,231.7356914,2020-09-26
26.0,231.7356914,2020-09-29
26.0,231.7356914,2020-09-30
26.0,231.7356914,2020-10-01
26.0,231.7356914,2020-10-02
26.0,231.7356914,2020-10-03
26.0,231.7356914,2020-10-05
26.0,231.7356914,2020-10-06
26.0,231.7356914,2020-10-07
26.0,231.7356914,2020-10-08
26.0,231.7356914,2020-10-09
26.0,231.7356914,2020-10-10
26.0,231.7356914,2020-10-11
26.0,231.7356914,2020-10-12
26.0,231.7356914,2020-10-13
26.0,231.7356914,2020-10-14
26.0,231.7356914,2020-10-15
26.0,231.7356914,2020-10-16
26.0,231.7356914,2020-10-17
26.0,231.7356914,2020-10-18
26.0,231.7356914,2020-10-19
26.0,231.7356914,2020-10-20
26.0,231.7356914,2020-10-21
26.0,231.7356914,2020-10-26
26.0,231.7356914,2020-10-27
26.0,231.7356914,2020-10-28
26.0,231.7356914,2020-10-29
26.0,231.7356914,2020-10-30
26.0,231.7356914,2020-10-31
26.0,231.7356914,2020-11-02
26.0,231.7356914,2020-11-03
26.0,231.7356914,2020-11-04
26.0,231.7356914,2020-11-05
26.0,231.7356914,2020-11-06
26.0,231.7356914,2020-11-07
26.0,231.7356914,2020-11-09
26.0,231.7356914,2020-11-10
26.0,231.7356914,2020-11-11
26.0,231.7356914,2020-11-12
26.0,231.7356914,2020-11-13
26.0,231.7356914,2020-11-14
