Date,Price,Open,High,Low,Vol.,Change %
01/16/2023,"1,684.86","1,686.35","1,691.35","1,679.99",17.63B,0.19%
01/13/2023,"1,681.73","1,691.52","1,695.99","1,673.92",20.67B,-0.34%
01/12/2023,"1,687.45","1,688.34","1,690.32","1,679.99",16.72B,0.10%
01/11/2023,"1,685.75","1,693.22","1,695.13","1,681.88",17.83B,-0.33%
01/10/2023,"1,691.41","1,694.17","1,695.53","1,684.90",15.56B,0.02%
01/09/2023,"1,691.12","1,685.30","1,693.42","1,684.90",16.83B,1.03%
01/06/2023,"1,673.86","1,667.14","1,677.79","1,665.49",16.40B,0.60%
01/05/2023,"1,663.86","1,674.81","1,676.82","1,659.90",18.17B,-0.56%
01/04/2023,"1,673.25","1,680.07","1,685.11","1,668.07",17.41B,-0.34%
01/03/2023,"1,678.97","1,675.70","1,683.38","1,673.29",11.90B,0.62%
12/30/2022,"1,668.66","1,662.65","1,678.17","1,661.48",13.65B,0.45%
12/29/2022,"1,661.20","1,644.73","1,662.07","1,642.48",13.11B,0.85%
12/28/2022,"1,647.28","1,644.00","1,649.42","1,641.54",13.31B,0.25%
12/27/2022,"1,643.16","1,632.06","1,645.76","1,631.14",11.29B,1.01%
12/26/2022,"1,626.80","1,620.69","1,629.26","1,619.69",7.14B,0.57%
12/23/2022,"1,617.55","1,611.92","1,619.32","1,609.82",11.99B,0.05%
12/22/2022,"1,616.67","1,614.53","1,618.86","1,611.81",10.51B,0.42%
12/21/2022,"1,609.94","1,611.26","1,612.61","1,605.29",12.42B,0.34%
12/20/2022,"1,604.44","1,619.72","1,621.54","1,597.03",15.76B,-0.85%
12/19/2022,"1,618.20","1,619.03","1,624.34","1,613.94",13.00B,-0.05%
12/16/2022,"1,619.01","1,615.55","1,620.44","1,612.02",15.68B,-0.08%
12/15/2022,"1,620.28","1,632.64","1,634.02","1,616.99",16.64B,-0.80%
12/14/2022,"1,633.36","1,630.49","1,638.88","1,628.17",14.17B,0.46%
12/13/2022,"1,625.91","1,629.83","1,633.07","1,621.41",12.70B,0.17%
12/09/2022,"1,623.13","1,621.97","1,629.93","1,618.13",12.34B,0.16%
12/08/2022,"1,620.49","1,624.29","1,625.90","1,615.06",11.65B,-0.11%
12/07/2022,"1,622.28","1,632.20","1,636.15","1,621.01",17.01B,-0.65%
12/06/2022,"1,632.97","1,639.25","1,640.87","1,628.66",14.65B,-0.53%
12/02/2022,"1,641.63","1,649.79","1,651.19","1,639.13",14.67B,-0.41%
12/01/2022,"1,648.44","1,642.16","1,651.76","1,639.02",18.84B,0.80%
11/30/2022,"1,635.36","1,626.14","1,636.08","1,622.24",17.50B,0.68%
11/29/2022,"1,624.39","1,619.23","1,625.67","1,613.87",16.18B,0.46%
11/28/2022,"1,616.91","1,616.43","1,620.78","1,612.56",13.00B,-0.24%
